observation_date,10ystandardised,snpcompositestandardised
1998-05-01,-0.129744331,0.329271667
1998-06-01,-0.169699813,0.325117878
1998-07-01,-0.149722072,0.325084911
1998-08-01,-0.299555131,0.378040226
1998-09-01,-0.502662167,0.287975532
1998-10-01,-0.436069696,0.228657667
1998-11-01,-0.402773461,0.241657488
1998-12-01,-0.432740073,0.364688761
1999-01-01,-0.429410449,0.414819939
1999-02-01,-0.219644166,0.479346523
1999-03-01,-0.23296266,0.476939963
1999-04-01,-0.196336801,0.515488883
1999-05-01,-0.103107342,0.573839728
1999-06-01,-0.046503742,0.570883725
1999-07-01,-0.009877883,0.56042233
1999-08-01,0.010099858,0.624641226
1999-09-01,-0.01653713,0.565850827
1999-10-01,0.023418352,0.55560921
1999-11-01,0.076692329,0.53565344
1999-12-01,0.166592165,0.635641075
2000-01-01,0.243173506,0.677047098
2000-02-01,0.156603294,0.67365154
2000-03-01,0.026747976,0.633300448
2000-04-01,0.093340447,0.691915025
2000-05-01,0.113318188,0.712958692
2000-06-01,0.026747976,0.665838461
2000-07-01,0.030077599,0.713618023
2000-08-01,-0.07314073,0.725749724
2000-09-01,-0.049833366,0.739441843
2000-10-01,-0.059822236,0.720310239
2000-11-01,-0.156381319,0.634696033
2000-12-01,-0.276247766,0.621399513
2001-01-01,-0.252940402,0.569630995
2001-02-01,-0.342840237,0.574795759
2001-03-01,-0.339510614,0.541961046
2001-04-01,-0.199666425,0.410204618
2001-05-01,-0.173029437,0.414589173
2001-06-01,-0.17635906,0.50308246
2001-07-01,-0.292895884,0.468291731
2001-08-01,-0.366147602,0.430643897
2001-09-01,-0.449388191,0.402127806
2001-10-01,-0.549276897,0.255030931
2001-11-01,-0.389454967,0.290140337
2001-12-01,-0.292895884,0.348480193
2002-01-01,-0.292895884,0.365238204
2002-02-01,-0.356158731,0.360051463
2002-03-01,-0.17635906,0.316601511
2002-04-01,-0.27957739,0.374974334
2002-05-01,-0.289566261,0.328974967
2002-06-01,-0.362817979,0.293063374
2002-07-01,-0.479354802,0.221383042
2002-08-01,-0.602550874,0.100033065
2002-09-01,-0.772361674,0.109879083
2002-10-01,-0.672472968,0.060714925
2002-11-01,-0.575913885,0.046231608
2002-12-01,-0.705769203,0.107000002
2003-01-01,-0.649165603,0.095186977
2003-02-01,-0.745724686,0.091516698
2003-03-01,-0.705769203,0.026891214
2003-04-01,-0.685791462,0.03744052
2003-05-01,-0.858931886,0.085132171
2003-06-01,-0.802328286,0.135604003
2003-07-01,-0.48601405,0.192790029
2003-08-01,-0.499332544,0.197778972
2003-09-01,-0.662484097,0.194471325
2003-10-01,-0.539288026,0.227339004
2003-11-01,-0.535958403,0.248536514
2003-12-01,-0.559265767,0.260811071
2004-01-01,-0.595891626,0.294590825
2004-02-01,-0.652495227,0.351601029
2004-03-01,-0.695780333,0.363512953
2004-04-01,-0.472695555,0.342216543
2004-05-01,-0.429410449,0.352524094
2004-06-01,-0.442728944,0.318920161
2004-07-01,-0.482684426,0.351864762
2004-08-01,-0.605880497,0.322293741
2004-09-01,-0.602550874,0.303711579
2004-10-01,-0.632517485,0.335271584
2004-11-01,-0.529299156,0.334777085
2004-12-01,-0.569254638,0.391622456
2005-01-01,-0.602550874,0.424885735
2005-02-01,-0.529299156,0.405325564
2005-03-01,-0.482684426,0.425347267
2005-04-01,-0.579243509,0.420149536
2005-05-01,-0.649165603,0.386666481
2005-06-01,-0.669143344,0.401886051
2005-07-01,-0.555936144,0.428226348
2005-08-01,-0.642506356,0.450193079
2005-09-01,-0.535958403,0.452423817
2005-10-01,-0.459377061,0.454236979
2005-11-01,-0.48601405,0.416918811
2005-12-01,-0.519310285,0.466819223
2006-01-01,-0.472695555,0.493961707
2006-02-01,-0.466036308,0.512269147
2006-03-01,-0.362817979,0.509983464
2006-04-01,-0.292895884,0.528763425
2006-05-01,-0.276247766,0.538027034
2006-06-01,-0.266258896,0.524664581
2006-07-01,-0.319532873,0.484181622
2006-08-01,-0.402773461,0.491950745
2006-09-01,-0.436069696,0.521521767
2006-10-01,-0.446058567,0.555136689
2006-11-01,-0.49600292,0.605289844
2006-12-01,-0.412762332,0.633047704
2007-01-01,-0.372806849,0.663574756
2007-02-01,-0.462706685,0.672080133
2007-03-01,-0.432740073,0.69476114
2007-04-01,-0.43939932,0.653168306
2007-05-01,-0.349499484,0.715464152
2007-06-01,-0.306214378,0.767661235
2007-07-01,-0.389454967,0.771012837
2007-08-01,-0.469365932,0.778177574
2007-09-01,-0.452717814,0.7055522
2007-10-01,-0.489343673,0.752254854
2007-11-01,-0.659154474,0.799001463
2007-12-01,-0.635847109,0.71518943
2008-01-01,-0.75904318,0.732584795
2008-02-01,-0.80565791,0.62219071
2008-03-01,-0.832294898,0.595938325
2008-04-01,-0.725746945,0.55425758
2008-05-01,-0.629187862,0.613080946
2008-06-01,-0.652495227,0.649069461
2008-07-01,-0.652495227,0.580971498
2008-08-01,-0.705769203,0.488752987
2008-09-01,-0.699109956,0.515280095
2008-10-01,-0.64583598,0.444379972
2008-11-01,-1.005435322,0.171691419
2008-12-01,-1.231849723,0.077450958
2009-01-01,-1.025413063,0.071429063
2009-02-01,-0.97546871,0.058264409
2009-03-01,-1.07868704,-0.008053359
2009-04-01,-0.928853981,-0.060909774
2009-05-01,-0.825635651,0.039110826
2009-06-01,-0.80565791,0.098736379
2009-07-01,-0.808987533,0.124790965
2009-08-01,-0.848943016,0.135450159
2009-09-01,-0.878909627,0.216668821
2009-10-01,-0.845613392,0.254932031
2009-11-01,-0.912205863,0.280327286
2009-12-01,-0.699109956,0.302755548
2010-01-01,-0.772361674,0.327271694
2010-02-01,-0.779020921,0.341776989
2010-03-01,-0.70243958,0.303953334
2010-04-01,-0.752383933,0.373062272
2010-05-01,-0.878909627,0.42280884
2010-06-01,-0.992116828,0.34340334
2010-07-01,-1.002105698,0.297579795
2010-08-01,-1.158598005,0.293667761
2010-09-01,-1.138620264,0.301887428
2010-10-01,-1.105324028,0.34012866
2010-11-01,-1.045390805,0.394523515
2010-12-01,-0.882239251,0.424534091
2011-01-01,-0.842283768,0.471390589
2011-02-01,-0.842283768,0.516543813
2011-03-01,-0.825635651,0.558850923
2011-04-01,-0.875580004,0.54057645
